DATETIME,TEMPERATURE, HUMIDITY
Wed Apr 21 15:58:32 2021,26.040000,47.000000
Wed Apr 21 15:58:33 2021,26.040000,47.000000
Wed Apr 21 15:58:34 2021,26.050000,46.000000
Wed Apr 21 15:58:35 2021,26.040000,46.000000
Wed Apr 21 15:58:36 2021,26.040000,46.000000
Wed Apr 21 15:58:37 2021,26.040000,46.000000
Wed Apr 21 15:58:38 2021,26.040000,46.000000
Wed Apr 21 15:58:39 2021,26.030000,46.000000
Wed Apr 21 15:58:40 2021,26.040000,46.000000
Wed Apr 21 15:58:41 2021,26.040000,46.000000
Wed Apr 21 15:58:42 2021,26.040000,46.000000
Wed Apr 21 15:58:43 2021,26.030000,46.000000
Wed Apr 21 15:58:44 2021,26.040000,46.000000
Wed Apr 21 15:58:45 2021,26.050000,46.000000
Wed Apr 21 15:58:46 2021,26.040000,46.000000
Wed Apr 21 15:58:47 2021,26.050000,46.000000
Wed Apr 21 15:58:48 2021,26.050000,46.000000
Wed Apr 21 15:58:49 2021,26.040000,46.000000
Wed Apr 21 15:58:50 2021,26.040000,46.000000
Wed Apr 21 15:58:51 2021,26.040000,46.000000
Wed Apr 21 15:58:52 2021,26.050000,46.000000
Wed Apr 21 15:58:53 2021,26.050000,46.000000
Wed Apr 21 15:58:54 2021,26.040000,46.000000
Wed Apr 21 15:58:55 2021,26.030000,46.000000
Wed Apr 21 15:58:56 2021,26.050000,46.000000
Wed Apr 21 15:58:57 2021,26.050000,46.000000
Wed Apr 21 15:58:58 2021,26.050000,46.000000
Wed Apr 21 15:58:59 2021,26.040000,46.000000
Wed Apr 21 15:59:00 2021,26.050000,46.000000
Wed Apr 21 15:59:01 2021,26.050000,46.000000
Wed Apr 21 15:59:02 2021,26.050000,46.000000
Wed Apr 21 15:59:03 2021,26.050000,46.000000
Wed Apr 21 15:59:04 2021,26.050000,46.000000
Wed Apr 21 15:59:05 2021,26.050000,47.000000
Wed Apr 21 15:59:06 2021,26.040000,47.000000
Wed Apr 21 15:59:07 2021,26.060000,47.000000
Wed Apr 21 15:59:08 2021,26.040000,47.000000
Wed Apr 21 15:59:09 2021,26.050000,47.000000
Wed Apr 21 15:59:10 2021,26.060000,47.000000
Wed Apr 21 15:59:11 2021,26.060000,47.000000
Wed Apr 21 15:59:12 2021,26.050000,47.000000
